data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_315.csv,51,0.0456130098074153,0.0,1,3,2,135,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_145.csv,52,4.57353903189786e-05,0.0,8,497,20,329,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_145.csv,52,0.00045735390318978606,0.0,1,173,21,189,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_145.csv,52,0.00457353903189786,0.0,1,148,19,142,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_145.csv,52,0.04573539031897861,0.0,1,17,10,100,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_867.csv,53,4.563056266699863e-05,0.0,5,92,17,294,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_867.csv,53,0.00045630562666998625,0.0,3,96,18,183,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_867.csv,53,0.004563056266699863,0.0,1,51,12,161,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_867.csv,53,0.04563056266699863,0.0,2,2,2,151,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_249.csv,54,4.52536898489509e-05,0.0,5,68,19,362,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_249.csv,54,0.000452536898489509,0.0,1,99,17,223,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_249.csv,54,0.00452536898489509,0.0,1,69,16,361,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_249.csv,54,0.0452536898489509,0.0,1,2,2,146,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_126.csv,55,4.546713318628359e-05,0.0,3,119,20,312,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_126.csv,55,0.00045467133186283596,0.0,1,128,19,232,22
